NIF,Filial propietaria directa,Inmuebles,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
B78385440,"ISLA DE OZA, S.L.",88,Isla de Oza SL,España,Isla de Oza SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82406323,"ISLAZUL CENTRO COMERCIAL, SL.",190,SHCO 99 SA,España,SHCO 99 SA,España,Empresa privada,NA,Centros comerciales y mercados,NA,https://www.boe.es/borme/dias/2014/11/18/pdfs/BORME-A-2014-220-28.pdf,https://www.boe.es/borme/dias/2014/10/16/pdfs/BORME-A-2014-198-28.pdf,NA,NA,NA,NA,NA,NA
B88382916,"JURISA INVESTMENTS, S.L.",402,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/07/30/pdfs/BORME-A-2019-144-28.pdf,https://www.boe.es/borme/dias/2018/06/21/pdfs/BORME-A-2018-118-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34,NA
B80781784,"KELBE, S.L.",252,Kelbe SL,España,Kelbe SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A85626927,KLEPIERRE PLENILUNIO SOCIMI S.A.,216,Klepierre,Francia,Klepierre SA,España,Socimi,NA,Centros comerciales y mercados,NA,https://www.boe.es/borme/dias/2015/05/26/pdfs/BORME-A-2015-97-28.pdf,NA,NA,NA,NA,NA,NA,NA
B79462354,"KLEPIERRE REAL ESTATE ESPAÑA, S.L.",68,Klepierre,Francia,Klepierre SA,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2020/06/22/pdfs/BORME-A-2020-118-28.pdf,http://www.boe.es/borme/dias/2015/09/18/pdfs/BORME-A-2015-179-28.pdf,NA,NA,NA,NA,NA,NA
A84065523,"KLEPIERRE VALLECAS, S.A.",209,Klepierre,Francia,Klepierre SA,España,Empresa privada,NA,Centros comerciales y mercados,NA,https://www.boe.es/borme/dias/2015/10/08/pdfs/BORME-A-2015-193-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28447530,"KRONE IBERICA, S,A,",54,Krone Ibérica SA,España,Krone Ibérica SA,España,Empresa privada,NA,Consultoría,NA,NA,NA,NA,NA,NA,NA,NA,NA
A87660957,"LA FINCA GLOBAL ASSETS, S.A.",130,La Finca Global Assers Socimi,España,La Finca Global Assers Socimi,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/07/25/pdfs/BORME-A-2019-141-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28323368,"LA SOCIEDAD GENERAL INMOBILIARIA DE ESPAÑA,",703,Groupe Générale Immobilière,Francia,Evermore SA,Luxemburgo,Soparfi,NA,Centros comerciales y mercados,NA,https://civio.box.com/s/2ftt7cb4uba0uyx3r8tml015mk5m599w,NA,NA,NA,NA,NA,NA,NA
B87595542,"LAMBEO INVESTMENTS II, S.L.U.",106,Blackstone,Estados Unidos,Alcmena (REIT) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/05/23/pdfs/BORME-A-2019-96-08.pdf,https://www.boe.es/borme/dias/2015/09/24/pdfs/BORME-A-2015-183-08.pdf,https://www.boe.es/borme/dias/2015/03/18/pdfs/BORME-A-2015-53-28.pdf,http://www.albiranaproperties.com/,NA,NA,NA,NA
A78319688,LARCOVI S.A.L,110,Larcovi SAL,España,Larcovi SAL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78565983,LARES IBERICOS S.L,53,Lares Ibéricos SL,España,Lares Ibéricos SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78657137,"LARVIN, S.A.",64,Larvin SA,España,Larvin SA,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78538568,"LAS TEJONERAS, S.L.",104,Las Tejoneras,España,Las Tejoneras,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A83787382,"LAZORA, S.A. S.I.I.",4640,CBRE,Estados Unidos,Azora Capital SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.azora.es/inversion-inmobiliaria/residencial/,https://nestarhomes.es/aviso-legal,https://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,https://www.cnmv.es/Portal/verGesDoc.axd?t={f7136115-8e63-48f8-aed7-58a0c192696e},https://www.azora.es/wp-content/uploads/2021/01/ESG-Report_Lazora-2019_EN.pdf,NA,NA,NA
B09393992,"LERCOPRA, S.L.",54,Lercopra SL,España,Lercopra SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B12432282,"LEVANTINA DE EXPLOTACIONES RESIDENCIALES,",63,Levantina de Explotaciones Residenciales,España,Levantina de Explotaciones Residenciales,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84120716,LIQUID INVESTMENTS SL,95,Dispomed BV,Países Bajos,Dispomed BV,Países Bajos,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2010/04/23/pdfs/BORME-A-2010-76-28.pdf,NA,NA,NA,NA,NA,NA,NA
A58032244,"LIVINGCENTER ACTIVOS INMOBILIARIOS, S.A.",902,CaixaBank,España,Buildingcenter SAU,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/12/14/pdfs/BORME-A-2021-237-28.pdf,https://buildingcenter.es/es/home-es/,NA,NA,NA,NA,NA,NA
B64969397,LLOGATALIA S.L.,88,Llogatalia SL,España,Llogatalia SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28645927,LOCALES BRISTOL S.L.,79,Locales Bristol SL,España,Locales Bristol SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B81323370,"LORENFE, S.L.",159,Lorenfe SL,España,Lorenfe SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B86501244,LSGI DE LA MORALEJA 2 S.L.,55,Groupe Générale Immobilière,Francia,Evermore SA,Luxemburgo,Soparfi,NA,Centros comerciales y mercados,NA,https://www.boe.es/borme/dias/2012/08/21/pdfs/BORME-A-2012-159-28.pdf,https://www.boe.es/borme/dias/2016/08/10/pdfs/BORME-A-2016-152-28.pdf,https://www.scc-lsgi.com/es/,https://plazadelamoraleja.es/aviso-legal/,https://civio.box.com/s/2ftt7cb4uba0uyx3r8tml015mk5m599w,NA,NA,NA
B78264157,"LUENMAR, S.L.",62,Luenmar SL,España,Luenmar SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78323417,"LUJAN Y JARRIN, S.L.",60,Lujan y Jarrin SL,España,Lujan y Jarrin SL,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
A81046039,"LURI 6, S.A.",445,Banco Santander,España,Banco Santander ,España,Empresa privada,NA,Entidades financieras,Banca,https://www.santander.com/content/dam/santander-com/es/documentos/informe-financiero-anual/2022/ifa-2022-informe-financiero-anual-consolidado-es.pdf,NA,NA,NA,NA,NA,NA,NA
B83141085,"MADRID XANADÚ 2003, S.L.",248,Intu Properties,Reino Unido,Intu Holding SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2019/06/21/pdfs/BORME-A-2019-117-28.pdf,https://www.boe.es/borme/dias/2017/03/28/pdfs/BORME-A-2017-60-28.pdf,https://civio.box.com/s/y8ma50z3nyrlnj2w26dqdxatzt7llnzt,https://civio.box.com/s/ct6sy28iopnad3591thtozedyg6l6abi,https://civio.box.com/s/egqq213mlukhzmrgfg02rjv07lu882tw,https://civio.box.com/s/pkhetd820asecoizgokdvpw8ad5syzu4,https://civio.box.com/s/x8o8iasar1efqynutof285gram1mxwpc,NA
B82330325,"MADRIMOR, S.L.",85,Madrimor SL,España,Madrimor SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B80907611,"MAISANCO, SL",103,Maisanco SL,España,Maisanco SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82228065,"MALGASA PROMOTORES, S.L.",126,Malgasa Promotores SL,España,Malgasa Promotores SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28205953,"MANZANARES, S.A.",103,Manzanares SA,España,Manzanares SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B83575449,"MAORI EUROPEAN HOLDING, S. L.",104,Maori European Holding,España,Maori European Holding,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28141935,"MAPFRE ESPAÑA CÑÍA. DE SEGUROS Y REASEGUROS, S.A.",55,Mapfre,España,Mapfre,España,Empresa privada,NA,Seguros,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28229599,"MAPFRE VIDA, S.A.",115,Mapfre,España,Mapfre,España,Empresa privada,NA,Seguros,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87614954,MATRITENSE REAL ESTATE SA,88,Matritense Real Estate Socimi SA,España,Matritense Real Estate Socimi SA,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2021/06/04/pdfs/BORME-A-2021-105-28.pdf,https://www.boe.es/borme/dias/2020/04/13/pdfs/BORME-A-2020-70-28.pdf,https://bwre.es/es/empresa/,NA,NA,NA,NA,NA
B78627106,"MENLOGICA, S.L.",86,Menlogica SL,España,Menlogica SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78257813,"MERCADO DE LA CONSTITUCION, S.A. (MERCONSA)",79,Mercado de la Constitución SA,España,Mercado de la Constitución SA,España,Empresa privada,NA,Centros comerciales y mercados,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28327393,"MERCAMADRID, S.A.",103,Ayuntamiento de Madrid,España,"MERCAMADRID, S.A.",España,Empresas públicas o administraciones,Ayuntamiento,Centros comerciales y mercados,NA,https://www.mercamadrid.es/que-es-mercamadrid/,NA,NA,NA,NA,NA,NA,NA
A86977790,"MERLIN PROPERTIES SOCIMI, S.A.",455,Merlin Properties Socimi SA,España,Merlin Properties Socimi SA,España,Socimi,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87046413,MERLIN RETAIL SL,91,Merlin Properties Socimi SA,España,Merlin Properties Socimi SA,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2014/10/09/pdfs/BORME-A-2014-193-28.pdf,https://www.boe.es/borme/dias/2014/09/03/pdfs/BORME-A-2014-167-28.pdf,NA,NA,NA,NA,NA,NA
A79275319,"MIMBRERAS 3, S.A.",51,Mimbreras 3 SA,España,Mimbreras 3 SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84921758,"MOSACATA, S.L.",379,Unicaja,España,Unicaja,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2023/02/06/pdfs/BORME-A-2023-25-28.pdf,NA,NA,NA,NA,NA,NA,NA
B78963154,"MOSUPE, S.L.",67,Mosupe SL,España,Mosupe SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28176634,"MUCOR, S.L.",266,Gm Cordeu Holding SL,España,Gm Cordeu Holding SL,España,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2016/06/07/pdfs/BORME-A-2016-107-28.pdf,NA,NA,NA,NA,NA,NA,NA
B88082847,"MUFLINA INVESTMENTS, S.L.U.",305,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2018/06/19/pdfs/BORME-A-2018-116-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34,NA,NA
V28027118,MUTUA MADRILEÑA AUTOMOVILISTA,158,Grupo Mutua Madrileña,España,Grupo Mutua Madrileña,España,Empresa privada,NA,Seguros,NA,https://www.boe.es/borme/dias/2013/06/21/pdfs/BORME-A-2013-116-28.pdf,NA,NA,NA,NA,NA,NA,NA
B78642279,"NAET, S.L.",169,Naet SL,España,Naet SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87991428,"NAIBOC, S.L.",105,Naiboc SL,España,Naiboc SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82153263,NEGOCIOS BRIMARO S.L.,320,Negocios Brimaro SL,España,Negocios Brimaro SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B83154757,"NEGOCIOS INMOBILIARIOS PENINSULARES, S.L.",266,Negocios Inmobiliarios Peninsulares SL,España,Negocios Inmobiliarios Peninsulares SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87753521,NEINOR SARDES RENTAL SL,153,Lone Star,Estados Unidos,LSREF3 Re Investments SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2021/09/03/pdfs/BORME-A-2021-170-28.pdf,https://www.boe.es/borme/dias/2021/01/27/pdfs/BORME-A-2021-17-28.pdf,https://www.boe.es/borme/dias/2021/09/03/pdfs/BORME-A-2021-170-28.pdf,https://www.boe.es/borme/dias/2021/01/05/pdfs/BORME-A-2021-2-28.pdf,https://www.boe.es/borme/dias/2015/06/03/pdfs/BORME-A-2015-103-48.pdf,https://www.boe.es/borme/dias/2015/05/22/pdfs/BORME-A-2015-95-48.pdf,https://www.boe.es/borme/dias/2015/03/25/pdfs/BORME-A-2015-57-48.pdf,http://www.etat.lu/memorial/2014/C/Pdf/c2404089.pdf
B84733138,NEPTUNE GETAFE PROPCO S.L.,86,Neinver S.A,España,Neptune Property Venture SARL,Luxemburgo,Soparfi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2016/10/10/pdfs/BORME-A-2016-194-28.pdf,https://www.boe.es/borme/dias/2023/02/21/pdfs/BORME-A-2023-36-28.pdf,https://www.boe.es/borme/dias/2016/10/14/pdfs/BORME-A-2016-197-28.pdf,https://civio.box.com/s/id7leamxh822mt6xj62bwmp4h86kxkr3,https://civio.box.com/s/q9cu9u2nx6740118omgva2q0rji52gth,NA,NA,NA
B83264267,NEPTUNE NASSICA PROPCO S.L.U.,64,Neinver S.A,España,Neptune Property Venture SARL,Luxemburgo,Soparfi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/05/13/pdfs/BORME-A-2019-89-28.pdf,https://www.boe.es/borme/dias/2017/06/21/pdfs/BORME-A-2017-116-28.pdf,https://www.boe.es/borme/dias/2016/10/14/pdfs/BORME-A-2016-197-28.pdf,https://www.boe.es/borme/dias/2016/10/10/pdfs/BORME-A-2016-194-28.pdf,https://civio.box.com/s/id7leamxh822mt6xj62bwmp4h86kxkr3,https://civio.box.com/s/q9cu9u2nx6740118omgva2q0rji52gth,NA,NA
B85364321,"NEPTUNE SAN SEBASTIAN OUTLET, S.L.U.",109,Neinver S.A,España,Neptune Property Venture SARL,Luxemburgo,Soparfi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/02/17/pdfs/BORME-A-2017-34-28.pdf,https://www.boe.es/borme/dias/2016/10/14/pdfs/BORME-A-2016-197-28.pdf,https://www.boe.es/borme/dias/2016/10/10/pdfs/BORME-A-2016-194-28.pdf,https://civio.box.com/s/id7leamxh822mt6xj62bwmp4h86kxkr3,https://civio.box.com/s/q9cu9u2nx6740118omgva2q0rji52gth,NA,NA,NA
B84518422,NESCAM 2006 SL,67,Renta Corporación,España,"Vivenio Residencial Socimi, S.A.",España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/04/28/pdfs/BORME-A-2017-81-28.pdf,https://www.boe.es/borme/dias/2018/11/19/pdfs/BORME-A-2018-221-28.pdf,https://www.boe.es/borme/dias/2017/12/18/pdfs/BORME-A-2017-238-28.pdf,NA,NA,NA,NA,NA
B88415351,"NUCIVA INVESTMENTS, S.L.U.",57,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/12/12/pdfs/BORME-A-2019-237-28.pdf,https://www.boe.es/borme/dias/2018/06/21/pdfs/BORME-A-2018-118-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34,NA
A28275998,NUEVA URBANIZADORA RESIDENCIAL SA.,72,Grupo Inmobiliario Gomendio SL,España,Grupo Inmobiliario Gomendio SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.miniparc.es/aviso-legal-miniparc.html,NA,NA,NA,NA,NA,NA,NA
B82872052,"O'DONNELL INVERSIONES, S.L.",132,O'Donell Inversiones,España,O'Donell Inversiones,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A79932927,"OBRAS DE MADRID. GESTION DE OBRAS E INFRAESTRUCTURAS, S.A.",104,Comunidad de Madrid,España,"Planifica Madrid, Proyectos y Obras MP SA",España,Empresas públicas o administraciones,Comunidad autónoma,Otros,Obras públicas,https://www.boe.es/borme/dias/2023/01/03/pdfs/BORME-A-2023-2-28.pdf,http://www.obrasdemadrid.com/es/informacion/modelo-de-gestion/,https://www.boe.es/borme/dias/2023/01/03/pdfs/BORME-A-2023-2-28.pdf,NA,NA,NA,NA,NA
A16004665,"OBRAS Y VIAS,S.A.",312,Obras y Vías SA,España,Obras y Vías SA,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78873262,"OCENDA, S.L.",155,Ocenda SL,España,Ocenda SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2800081H,ORDEN HOSPITALARIA DE SAN JUAN DE DIOS,328,Orden Hospitalaria de San Juan de Dios,España,Orden Hospitalaria de San Juan de Dios,España,Entidades religiosas,NA,Entidades religiosas,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87396669,"ORONIS INVERSIONES, S.L.",208,Oronis Inversiones ,España,Oronis Inversiones ,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84557099,"OTAYA GESTIÓN, S.L.",119,Otaya Gestión,España,Otaya Gestión,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28013506,"PALACIO DE LOS RECREOS, S.A.",76,Palacio de los Recreos SA,España,Palacio de los Recreos SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B08299356,PARENTA S.L.,57,Parenta SL,España,Parenta SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84292226,"PARQUE COMERCIAL GUADALHORCE, S.L.",113,Kennedy Williams,Estados Unidos,KW Real Estate Lux SARL,Luxemburgo,Soparfi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2016/01/27/pdfs/BORME-A-2016-17-28.pdf,https://www.boe.es/borme/dias/2015/12/15/pdfs/BORME-A-2015-238-28.pdf,https://www.boe.es/borme/dias/2015/05/18/pdfs/BORME-A-2015-91-28.pdf,https://civio.box.com/s/brrhv7g6oqwi1fhs2utjaz6uuwmle0kk,https://civio.box.com/s/jai5jnt4nc6mgg3l9pivq6qcniqk5776,https://www.jerseyfsc.org/registry/registry-entities/entity/298988,NA,NA
A82062894,"PASEO COMERCIAL CARLOS III, S.A.",126,Paseo Comercial Carlos III SA,España,Paseo Comercial Carlos III SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A80327711,"PATRIMONIO MUNICIPAL MAJADAHONDA,SA",271,Ayuntamiento de Majadahonda,España,"PATRIMONIO MUNICIPAL MAJADAHONDA,SA",España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2801002C,PATRIMONIO NACIONAL,123,Patrimonio Nacional,España,Patrimonio Nacional,España,Empresas públicas o administraciones,Administración central,Otros,Patrimonio,NA,NA,NA,NA,NA,NA,NA,NA
B31213747,"PEREL, S.L.",120,Perel SL,España,Perel SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/diario_borme/txt.php?id=BORME-C-2023-1296,NA,NA,NA,NA,NA,NA,NA
E78803681,"PERLADO PEREZ DE VALLUERCA HNOS, C.B.",89,Perlado Pérez de Valluerca Hnos C.B.,España,Perlado Pérez de Valluerca Hnos C.B.,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
B84775741,"PINARCAM VIVIENDA JOVEN SOCIMI, S.L.U.",67,Ares Management Corporation,Estados Unidos,Iante Investments Socimi,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/02/25/pdfs/BORME-A-2019-38-28.pdf,https://www.boe.es/borme/dias/2018/06/21/pdfs/BORME-A-2018-118-28.pdf,https://civio.box.com/s/2kjbkbys11w115aqx2edz8phk36ijl2s,https://civio.box.com/s/7qqjbmn1yc3o5d7r50kdn5dr567smzs9,https://civio.box.com/s/yr183xzwbr6fbydv9bl6qvyhygh6ag4q,https://civio.box.com/s/uotdgk9d65yeq8m365bix2u91q4gx6y9,https://civio.box.com/s/11pbtb9l0izi1dq11vujt4jzo6g80z34,NA
E78214400,"PLAZA DE CHAMBERÍ, 9 CB",57,Plaza de Chamberí 9 CB,España,Plaza de Chamberí 9 CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
A28005288,"PLURA, S.A.",105,Hermandades del Trabajo Centro de Madrid,España,Hermandades del Trabajo Centro de Madrid,España,Entidades religiosas,NA,Entidades religiosas,NA,https://hhtmadrid.com/sede/,https://hhtmadrid.com/wp-content/uploads/Memoria-institucional-2015-2016-web.pdf,NA,NA,NA,NA,NA,NA
B87272753,"PONCA INVESTMENTS, 2015 S.L.U.",95,Inversions 3 Valclau SL,España,Inversions 3 Valclau SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2015/10/23/pdfs/BORME-A-2015-203-28.pdf,https://www.boe.es/borme/dias/2015/10/13/pdfs/BORME-A-2015-195-28.pdf,NA,NA,NA,NA,NA,NA
B82707720,"PONTEGADEA ESPAÑA, S,L.",146,Pontegadea Inversiones,España,Pontegadea Inversiones,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2018/01/02/pdfs/BORME-A-2018-1-15.pdf,https://www.boe.es/borme/dias/2016/11/22/pdfs/BORME-A-2016-222-28.pdf,https://www.boe.es/borme/dias/2011/07/14/pdfs/BORME-A-2011-134-15.pdf,NA,NA,NA,NA,NA
B86605367,PORTOCARRIO VIVIENDAS S.L.,147,Portocarrio Viviendas SL,España,Portocarrio Viviendas SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A81969073,"PRINCIPE PIO GESTIÓN, S.A.",127,Klepierre,Francia,Klepierre SA,España,Empresa privada,NA,Centros comerciales y mercados,NA,https://www.boe.es/borme/dias/2018/01/02/pdfs/BORME-A-2018-1-28.pdf,NA,NA,NA,NA,NA,NA,NA
B78300472,PROCU S.L.,83,Procu SL,España,Procu SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
F80928864,PROFIL SOCIEDAD COOPERATIVA,96,Profil Sociedad Cooperativa,España,Profil Sociedad Cooperativa,España,Cooperativa,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28245447,"PROINTEL, S.L.",62,Prointel Inversiones SL,España,Prointel Inversiones SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2009/07/30/pdfs/BORME-A-2009-143-28.pdf,NA,NA,NA,NA,NA,NA,NA
B79139341,"PROIPI, S.L.",55,Proipi SL,España,Proipi SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82141516,PROLAVIMA S.L,51,Prolavima SL,España,Prolavima SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28170108,"PROMOCION VIVIENDAS ARRENDAMIENTO Y VENTA,",78,Proviarve,España,Proviarve,España,Empresa privada,NA,Inmobiliaria,NA,http://www.urcolesa.com/html/aviso-legal,NA,NA,NA,NA,NA,NA,NA
B82037797,PROMOCIONES ALGARA GOMEZ S.L.,79,Promociones Algara Gómez SL,España,Promociones Algara Gómez SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28239523,"PROMOCIONES INMOBILIARIAS CALERO, S.A.",325,Promociones Inmobiliarias Calero SL,España,Promociones Inmobiliarias Calero SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28295988,PROMOCIONES INMOBILIARIAS SAYPA S.A.,59,Promociones Inmobiliarias Saypa SA,España,Promociones Inmobiliarias Saypa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A83284018,"PROMOCIONES LLADERO, S.A.",506,Goldman Sachs,Estados Unidos,Elq Holding (DEL) LLC,Delaware,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.axa.es/documents/1119421/173317240/AXA+Business+Operations%2C+S.A.+%28CCAA+2021%29.pdf,https://www.boe.es/borme/dias/2015/12/17/pdfs/BORME-A-2015-240-08.pdf,https://www.boe.es/borme/dias/2022/03/31/pdfs/BORME-A-2022-63-08.pdf,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/d107036dex211.htm,NA,NA,NA,NA
A78483021,"PROMOCIONES NIMER, S.A.",51,Promociones Nimer SA,España,Promociones Nimer SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
