nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
89,"Lucie Mattera, Cabinet member of Pierre Moscovici;David Boublil, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",23/01/2018,Brussels,Commission's digital tax proposals: informative exchange of views. Multinationals concerned about impact of change,Google,FALSE,,,
90,"Manuel Mateo-Goyet, Cabinet member of Mariya Gabriel",Digital Economy and Society,11/01/2018,Brussels,"Search, Illegal content and Fake News",Google,FALSE,,,
91,"Andrus Ansip, Vice-President;Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,9/01/2018,Brussels,Tackling illegal content online,Google,FALSE,,,
92,"Eric Peters, Cabinet member of Mariya Gabriel;Mariya Gabriel, Commissioner",Digital Economy and Society,9/01/2018,Brussels,Tackling illegal content online,Google,FALSE,,,
93,"Ann Mettler, Director-General","Director-General of Inspire, Debate, Engage and Accelerate Action (IDEA)",7/12/2017,Berlaymont,Disinformation,Google,FALSE,,,
94,"Giorgios Rossides, Cabinet member of Dimitris Avramopoulos;Dimitris Avramopoulos, Commissioner","Migration, Home Affairs and Citizenship",6/12/2017,Brussels,Internet Forum,Google,FALSE,,,
95,"Julie Ruff, Cabinet member of Julian King",Security Union,6/12/2017,Brussels,Cyber security,Google,FALSE,,,
96,"Julian King, Commissioner",Security Union,6/12/2017,Brussels,EU Internet Forum,Google,FALSE,,,
97,"Daniel Braun, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",30/11/2017,"Brussels, Belgium",Online platforms,Google,FALSE,,,
98,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,24/11/2017,Brussels,"Platforms, illegal content online",Google,FALSE,,,
99,"Daniel Braun, Cabinet member of Věra Jourová;Kevin O'Connell, Cabinet member of Věra Jourová;Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",17/11/2017,"Brussels, Belgium","GDPR, Privacy shield, Online platforms",Google,FALSE,,,
100,"Juhan Lepassaar, Cabinet member of Andrus Ansip",Digital Single Market,14/11/2017,San Francisco (US),"P2B, fake news, ilegal content",Google,FALSE,,,
101,"Julie Ruff, Cabinet member of Julian King",Security Union,19/10/2017,Brussels,Cyber security,Google,FALSE,,,
102,"Vladimir Šucha, Director-General",Director-General of Joint Research Centre(JRC),13/10/2017,Brussels,Exchange on research related to Artificial Intelligence,Google,FALSE,,,
103,"Manuel Mateo-Goyet, Cabinet member of Mariya Gabriel",Digital Economy and Society,5/10/2017,Brussels,"Copyright, Platforms, DSM, Fake News, AVMSD",Google,FALSE,,,
104,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",5/10/2017,Brussels,platforms,Google,FALSE,,,
105,"Hanna Hinrikus, Cabinet member of Andrus Ansip;Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,5/10/2017,Brussels,Role of Platforms on Hate Speech & Fake News,Google,FALSE,,,
106,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),4/10/2017,"Brussels, Belgium",Digitalisation for transport,Google,FALSE,,,
107,"Manuel Szapiro, Cabinet member of Maroš Šefčovič;Ivo Schmidt, Cabinet member of Maroš Šefčovič;Juraj Nociar, Cabinet member of Maroš Šefčovič",Energy Union,4/10/2017,Brussels,"AI intellligence; Energy efficiency, digital transformation",Google,FALSE,,,
108,"Daniel Braun, Cabinet member of Věra Jourová;Renate Nikolay, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",4/10/2017,"Brussels, Belgium","Code of Conduct, Online Hate Speech",Google,FALSE,,,
109,"Alisa Tiganj, Cabinet member of Violeta Bulc",Transport,26/09/2017,Bruxelles,"how Google's services support the European economy and employment, the competitive landscape online",Google,FALSE,,,
110,"Mariya Gabriel, Commissioner",Digital Economy and Society,21/09/2017,Brussels,DSM initiatives,Google,FALSE,,,
111,"Renate Nikolay, Cabinet member of Věra Jourová;Kevin O'Connell, Cabinet member of Věra Jourová;Wojtek Talko, Cabinet member of Věra Jourová;Věra Jourová, Commissioner","Justice, Consumers and Gender Equality",20/09/2017,Sillicon Valley,"EU US Privacy Shield, Online hate speech, e- evidence",Google,FALSE,,,
112,"Shane Sutherland, Cabinet member of Phil Hogan",Agriculture & Rural Development,8/09/2017,Dublin,EU HQ Visit,Google,FALSE,,,
113,"Phil Hogan, Commissioner",Agriculture & Rural Development,8/09/2017,Dublin,enterprise,Google,FALSE,,,
114,"Manuel Aleixo, Cabinet member of Carlos Moedas","Research, Science and Innovation",13/07/2017,Brussels,Research & Innovation,Google,FALSE,,,
115,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",13/07/2017,Brussels,Digital Single Market,Google,FALSE,,,
116,"Andras Inotai, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",12/07/2017,Brussels,Google competition cases,Google,FALSE,,,
117,"Silvio Mascagna, Cabinet member of Julian King",Security Union,24/05/2017,Brussels,EU Internet Forum,Google,FALSE,,,
118,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,18/05/2017,Brussels,Copyright,Google,FALSE,,,
119,"Daniel Braun, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",25/04/2017,"Brussels, Belgium",Fake news,Google,FALSE,,,
120,"Andrus Ansip, Vice-President;Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,27/03/2017,Brussels,"DSM review, data, EU-US privacy shield, platforms, publishers' right",Google,FALSE,,,
121,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",27/03/2017,Brussels,"Copyright reform, data economy package, ongoing assessment of platforms and competitiveness in the mobile economy",Google,FALSE,,,
122,"Hanna Hinrikus, Cabinet member of Andrus Ansip",Digital Single Market,23/03/2017,Brussels,"Fake News, Safer Internet for Children and Platforms",Google,FALSE,,,
123,"Daniel Braun, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",20/03/2017,"Brussels, Belgium",Code of Conduct,Google,FALSE,,,
124,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",14/02/2017,Brussels,Digital Single Market,Google,FALSE,,,
125,"Manuel Aleixo, Cabinet member of Carlos Moedas","Research, Science and Innovation",2/02/2017,Brussels,Research & Innovation,Google,FALSE,,,
126,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",31/01/2017,"Brussels, Belgium",General portfolio issues,Google,FALSE,,,
127,"Renate Nikolay, Cabinet member of Věra Jourová;Kevin O'Connell, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",24/01/2017,"Brussels, Belgium","Implementation of GDPR, Privacy Shield, e-privacy regulation",Google,FALSE,,,
128,"Filomena Chirico, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",11/01/2017,Brussels,Overview of Google services and the competitive landscape online,Google,FALSE,,,
129,"Joshua Salsby, Cabinet member of Violeta Bulc",Transport,21/12/2016,Brussels,Discussion ahead of Davos meeting on the occasion of the 2017 World Economic Forum,Google,FALSE,,,
130,"Christos Stylianides, Commissioner",Humanitarian Aid & Crisis Management,20/12/2016,Brussels,Role of the private sector in humanitarian aid,Google,FALSE,,,
131,"Dimitris Avramopoulos, Commissioner;Giorgios Rossides, Cabinet member of Dimitris Avramopoulos","Migration, Home Affairs and Citizenship",8/12/2016,Brussels,Preparation for the Internet Forum,Google,FALSE,,,
132,"Szabolcs Horvath, Cabinet member of Tibor Navracsics;Adrienn Kiraly, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",2/12/2016,Brussels,Year of cultural heritage,Google,FALSE,,,
133,"Daniel Braun, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",30/11/2016,"Brussels, Belgium",Hate speech,Google,FALSE,,,
134,"Markus Schulte, Cabinet member of Günther Oettinger",Digital Economy and Society,30/11/2016,Brussels,Artificial intelligence,Google,FALSE,,,
135,"Patricia Reilly, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",30/11/2016,Brussels,Artificial Intelligence and Machine Learning in education and science,Google,FALSE,,,
136,"Renate Nikolay, Cabinet member of Věra Jourová;Daniel Braun, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",23/11/2016,"Brussels, Belgium",Code of Conduct,Google,FALSE,,,
137,"Günther Oettinger, Commissioner",Digital Economy and Society,18/11/2016,Brussels,DSM,Google,FALSE,,,
138,"Martin Übelhör, Cabinet member of Günther Oettinger",Digital Economy and Society,9/11/2016,BXL,ePrivacy directive,Google,FALSE,,,
139,"Rodrigo Ballester, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",7/11/2016,Brussels,ICT in education,Google,FALSE,,,
140,"Rodrigo Ballester, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",24/10/2016,"Madrid, Spain",ICT in education,Google,FALSE,,,
141,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",19/10/2016,Brussels,Google vision on the Copyright reform proposal of the Commission; Update on partnership between Google and EU Industry stakeholders; e- Privacy Directive review,Google,FALSE,,,
142,"Rodrigo Ballester, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",4/10/2016,Brussels,ICT in education,Google,FALSE,,,
143,"Kamila Kloc, Cabinet member of Andrus Ansip",Digital Single Market,3/10/2016,Brussels,Mobile economy,Google,FALSE,,,
144,"Thibaut Kleiner, Cabinet member of Günther Oettinger",Digital Economy and Society,3/10/2016,Brussels,Publishing economies,Google,FALSE,,,
145,"Fabrice Comptour, Cabinet member of Elżbieta Bieńkowska;Elżbieta Bieńkowska, Commissioner;Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",21/09/2016,Mountain View California,"Innovation, driverless cars",Google,FALSE,,,
146,"Davinia Wood, Cabinet member of Christos Stylianides",Humanitarian Aid & Crisis Management,21/09/2016,Brussels,Preparation of Google Event BOZAR 19th Oct 2016,Google,FALSE,,,
147,"Edward Bannerman, Cabinet member of Jyrki Katainen;Sebastian Kuck, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",12/09/2016,Brussels,Investment and competition issues,Google,FALSE,,,
148,"Thibaut Kleiner, Cabinet member of Günther Oettinger",Digital Economy and Society,12/09/2016,Brussels,"Copyright, innovation",Google,FALSE,,,
149,"Michael Hager, Cabinet member of Günther Oettinger;Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,12/09/2016,Brussels,copyright,Google,FALSE,,,
150,"Andrus Ansip, Vice-President;Juhan Lepassaar, Cabinet member of Andrus Ansip;Hanna Hinrikus, Cabinet member of Andrus Ansip",Digital Single Market,8/09/2016,Dublin,"Copyright, AVMSD",Google,FALSE,,,
151,"Stig Joergen Gren, Cabinet member of Andrus Ansip;Hanna Hinrikus, Cabinet member of Andrus Ansip",Digital Single Market,2/09/2016,Brussels,Copyright,Google,FALSE,,,
152,"Isabelle Perignon, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",22/08/2016,"Brussels, Belgium",Competition issues,Google,FALSE,,,
153,"Andras Inotai, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",22/08/2016,Brussels,Ongoing competition cases against Google,Google,FALSE,,,
154,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",4/07/2016,Brussels,Digital Singel Market,Google,FALSE,,,
155,"Bodo Lehmann, Cabinet member of Günther Oettinger",Digital Economy and Society,28/06/2016,BXL,connected and automated driving,Google,FALSE,,,
156,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,28/06/2016,Brussels,self-driving car project,Google,FALSE,,,
157,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",24/06/2016,Brussels,Digital news initiative,Google,FALSE,,,
158,"Monika Ladmanova, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",22/06/2016,"Brussels, Belgium",Corporate Social Responsibility,Google,FALSE,,,
159,"Juho Romakkaniemi, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",16/06/2016,Brussels,Digital Single Market,Google,FALSE,,,
160,"Alfredo Sousa De Jesus, Cabinet member of Carlos Moedas;Manuel Nobre Goncalves, Cabinet member of Carlos Moedas;Antonio Lowndes Marques De Araujo Vicente, Cabinet member of Carlos Moedas","Research, Science and Innovation",16/06/2016,Brussels,mobile economy; open innovation,Google,FALSE,,,
161,"Maroš Šefčovič, Vice-President",Energy Union,3/06/2016,"San Francisco, USA","Energy efficiency, smart mobility",Google,FALSE,,,
162,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",1/06/2016,Warsaw,visit to the Campus Google,Google,FALSE,,,
163,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,19/05/2016,Brussels,DSM,Google,FALSE,,,
164,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",19/05/2016,Brussels,How Google can support the forthcoming co- regulation initiatives of EU Commission; Google vision on Copyright reform with specific regards to neighbouring rights; How Google can support the Commission agenda on the free flow of data and European cloud for research.,Google,FALSE,,,
165,"Maximilian Strotmann, Cabinet member of Andrus Ansip;Andrus Ansip, Vice-President",Digital Single Market,19/05/2016,Brussels,"Platforms, copyright, DSM",Google,FALSE,,,
166,"Ann Mettler, Director-General","Director-General of Inspire, Debate, Engage and Accelerate Action (IDEA)",18/05/2016,Berlaymont,Digital Economy,Google,FALSE,,,
167,"Stefaan Hermans, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",18/05/2016,"Brussels, Belgium",Digital skills,Google,FALSE,,,
168,"Christos Stylianides, Commissioner",Humanitarian Aid & Crisis Management,17/05/2016,Brussels,involvement of private sector in humanitarian aid,Google,FALSE,,,
169,"Daniel Giorev, Cabinet member of Kristalina Georgieva;Denis Chaibi, Cabinet member of Kristalina Georgieva",Budget & Human Resources,4/05/2016,Brussels,"Meeting with Benoit Tabaka, Head of Mobile Economic Policy EMEA",Google,FALSE,,,
170,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska;Tomasz Husak, Cabinet member of Elżbieta Bieńkowska;Fabrice Comptour, Cabinet member of Elżbieta Bieńkowska;Elżbieta Bieńkowska, Commissioner","Internal Market, Industry, Entrepreneurship and SMEs",3/05/2016,Brussels,"Online platforms, e-commerce package, start-ups",Google,FALSE,,,
171,"Yvon Slingenberg, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,28/04/2016,Brussels,"RES, Circular Economy",Google,FALSE,,,
172,"Renate Nikolay, Cabinet member of Věra Jourová;Daniel Braun, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",25/04/2016,"Brussels, Belgium",Hate speech online,Google,FALSE,,,
173,"Gertrud Ingestad, Director-General",Acting Director- General of Informatics(DIGIT),22/04/2016,"Silicon Valley, USA","Google Presentation, Google Innovations, Devices at work (android and chrome),",Google,FALSE,,,
174,"Pauline Rouch, Cabinet member of Jean-Claude Juncker",President,4/04/2016,Brussels,Digital Single Market,Google,FALSE,,,
175,"Anna Herold, Cabinet member of Günther Oettinger;Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,22/03/2016,Brussels,google news,Google,FALSE,,,
176,"Juhan Lepassaar, Cabinet member of Andrus Ansip;Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,21/03/2016,Brussels,Digital news,Google,FALSE,,,
177,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),21/03/2016,"Brussels, Belgium",Digitalisation of transport,Google,FALSE,,,
178,"Tibor Navracsics, Commissioner","Education, Culture, Youth and Sport",21/03/2016,Brussels,Digital Single Market,Google,FALSE,,,
179,"Kristalina Georgieva, Vice-President",Budget & Human Resources,19/03/2016,Brussels German Marshall Fund Forum – Brussels,"Meeting of VP Georgieva with Caroline Atkinson, Google's Vice President of Public Policy",Google,FALSE,,,
180,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska;Fabrice Comptour, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",1/03/2016,Brussels,Digital Single Market,Google,FALSE,,,
181,"Günther Oettinger, Commissioner",Digital Economy and Society,25/02/2016,Brussels,"Digital Skills, DSM",Google,FALSE,,,
182,"Martin Selmayr, Cabinet member of Jean-Claude Juncker;Pauline Rouch, Cabinet member of Jean-Claude Juncker",President,25/02/2016,"Brussels, Belgium",Digital Single Market,Google,FALSE,,,
183,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,23/02/2016,Brussels,"e-privacy, next steps on the directive",Google,FALSE,,,
184,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",18/02/2016,Brussels,DSM: Google engagement to improve digital skills in Europe - Platforms: present Google position on the discussion around platforms and discuss how self/co-regulation could address some of the policy issues on the table - European Cloud initiative: how Google can contribute to this important initiative,Google,FALSE,,,
185,"Carl-Christian Buhr, Cabinet member of Phil Hogan",Agriculture & Rural Development,27/01/2016,"Brussels, Belgium",General presentation of setup and outlook of Google Ireland; ICT and rural development,Google,FALSE,,,
186,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",22/01/2016,Brussels,Digital Single Market,Google,FALSE,,,
187,"Günther Oettinger, Commissioner",Digital Economy and Society,21/01/2016,Davos,DSM,Google,FALSE,,,
188,"Alicja Magda Herbowska, Cabinet member of Tibor Navracsics;Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",20/01/2016,"Brussels, Belgium",Google Cultural Institute and Digital Single Market,Google,FALSE,,,
189,"Adrienn Kiraly, Cabinet member of Tibor Navracsics;Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",17/12/2015,Brussels,"Google Cultural institute future initiatives, Copyright",Google,FALSE,,,
190,"Frans Timmermans, First Vice-President","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",3/12/2015,Brussels,Business Europe CEO day,Google,FALSE,,,
191,"Carlos Moedas, Commissioner","Research, Science and Innovation",3/12/2015,Brussels,Business Europe CEO day,Google,FALSE,,,
192,"Alexander Italianer, Director-General",Secretary-General of Secretariat- General(SG),3/12/2015,Brussels - Belgium,Business Europe CEO day,Google,FALSE,,,
193,"Jyrki Katainen, Vice-President;Edward Bannerman, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",3/12/2015,Brussels,Business Europe CEO day,Google,FALSE,,,
194,"Markus Schulte, Cabinet member of Günther Oettinger",Digital Economy and Society,2/12/2015,Brussels,Digital skills,Google,FALSE,,,
195,"Stig Joergen Gren, Cabinet member of Andrus Ansip;Juhan Lepassaar, Cabinet member of Andrus Ansip",Digital Single Market,30/11/2015,Brussels,"platforms, copyright, data protection, AVMSD",Google,FALSE,,,
196,"Bodo Lehmann, Cabinet member of Günther Oettinger",Digital Economy and Society,26/11/2015,BXL,Cybersecurity and consumers fostering web safety,Google,FALSE,,,
197,"Jasmin Battista, Cabinet member of Andrus Ansip;Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,25/11/2015,Brussels,digital divide of italian users and consumers / Web Safety,Google,FALSE,,,
198,"Günther Oettinger, Commissioner",Digital Economy and Society,20/11/2015,Madrid,Digital transformation of the European industry,Google,FALSE,,,
199,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,18/11/2015,Brussels,Youtube kids app and discussion on their plans for lauching this app in Europe.,Google,FALSE,,,
200,"Jan Mikolaj Dzieciolowski, Cabinet member of Corina Crețu",Regional Policy,17/11/2015,"Brussels, Belgium",Information exchange,Google,FALSE,,,
201,"Stig Joergen Gren, Cabinet member of Andrus Ansip",Digital Single Market,21/10/2015,Brussels,Platforms,Google,FALSE,,,
202,"Michel Servoz, Director-General","Director-General of Employment, Social Affairs and Inclusion(EMPL)",13/10/2015,BRUSSELS,How Google can help the European Commission’s effort to boost digital skills and jobs in Europe,Google,FALSE,,,
203,"Dominique Ristori, Director-General",Director-General of Energy(ENER),13/10/2015,"Brussels, Belgium",European energy policy,Google,FALSE,,,
204,"Jasmin Battista, Cabinet member of Andrus Ansip",Digital Single Market,13/10/2015,Brussels,Investment Google Italy,Google,FALSE,,,
205,"Tânia Frazão Nunes, Cabinet member of Carlos Moedas","Research, Science and Innovation",6/10/2015,Brussels,Innovation and Competition,Google,FALSE,,,
206,"Renate Nikolay, Cabinet member of Věra Jourová;Daniel Braun, Cabinet member of Věra Jourová;Věra Jourová, Commissioner;Isabelle Perignon, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",2/10/2015,"Brussels, Belgium",Hate speech on- line,Google,FALSE,,,
207,"Carlos Moedas, Commissioner","Research, Science and Innovation",23/09/2015,Brussels,R&D investment in Europe and innovation policy,Google,FALSE,,,
208,"Valdis Dombrovskis , Vice-President;Tatyana Panova, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",23/09/2015,"Brussels, Belgium",Google's investments and initiatives in Europe as well as our vision on the Digital Single Market,Google,FALSE,,,
209,"Günther Oettinger, Commissioner",Digital Economy and Society,23/09/2015,Silicon Valley,DSM,Google,FALSE,,,
210,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",11/09/2015,"Brussels, Belgium",Future policy actions,Google,FALSE,,,
211,"Dominique Ristori, Director-General",Director-General of Energy(ENER),10/09/2015,"Brussels, Belgium",European energy policies,Google,FALSE,,,
212,"Raquel Lucas, Cabinet member of Valdis Dombrovskis;Jan Ceyssens, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",30/07/2015,European Commission – Brussels (Berlaymont),Digital Single Market,Google,FALSE,,,
213,"Carl-Christian Buhr, Cabinet member of Phil Hogan",Agriculture & Rural Development,9/07/2015,"Brussels, Belgium","Google's informed about its views on the changing online landscape and the DSM, especially its actions regarding platforms",Google,FALSE,,,
214,"Andras Inotai, Cabinet member of Karmenu Vella","Environment, Maritime Affairs and Fisheries",7/07/2015,Brussels,Google competition case,Google,FALSE,,,
215,"Maria Elena Scoppio, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",7/07/2015,"Brussels, Belgium",present Google's point of view on the ongoing Commission's investigation,Google,FALSE,,,
216,"Edward Bannerman, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",7/07/2015,Brussels,Innovation and competition in the digital sector,Google,FALSE,,,
217,"Christos Stylianides, Commissioner",Humanitarian Aid & Crisis Management,6/07/2015,Brussels,private sector participation in humanitarian aid,Google,FALSE,,,
218,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,6/07/2015,Brussels,Digital News initiative,Google,FALSE,,,
219,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,30/06/2015,Brussels,"Identity, Privacy and Security",Google,FALSE,,,
220,"Vladimir Šucha, Director-General",Director-General of Joint Research Centre(JRC),23/06/2015,Brussels,Workshop Google - Innovation cycle in Google ATAP,Google,FALSE,,,
221,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",23/06/2015,Brussels,The antitrust investigation case against Google,Google,FALSE,,,
222,"Alfredo Sousa De Jesus, Cabinet member of Carlos Moedas","Research, Science and Innovation",23/06/2015,Brussels,Meeting with Adam Cohen & Sylwia Giepmans,Google,FALSE,,,
223,"Pauline Rouch, Cabinet member of Jean-Claude Juncker",President,4/06/2015,"Brussels, Belgium",Digital Single Market,Google,FALSE,,,
224,"Bodo Lehmann, Cabinet member of Günther Oettinger",Digital Economy and Society,3/06/2015,BERL,privacy; data protection,Google,FALSE,,,
225,"Maria Da Graca Carvalho, Cabinet member of Carlos Moedas","Research, Science and Innovation",3/06/2015,Berlaymont,"Meeting with Messrs Holzle, Lundblad & Socuvka",Google,FALSE,,,
226,"Kamila Kloc, Cabinet member of Andrus Ansip",Digital Single Market,28/05/2015,Brussels,DSM & platforms,Google,FALSE,,,
227,"Arunas Vinciunas, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,27/05/2015,"Brussels, Belgium",Telemedicine,Google,TRUE,,,
228,"Grzegorz Radziejewski, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",19/05/2015,Brussels,Digital Single Market,Google,FALSE,,,
229,"Robert Madelin, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",19/05/2015,Brussels,Digital Single Market,Google,FALSE,,,
230,"Adrienn Kiraly, Cabinet member of Tibor Navracsics;Jonathan Michael Hill, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",21/04/2015,Brussels,Google Cultural Institute,Google,FALSE,,,
231,"Xavier Prats Monné, Director-General","Director-General of Education, Youth, Sport and Culture(EAC)",20/04/2015,J-70 04/71,Meeting with Google Cultural Institute (Mr Amit Sood),Google,FALSE,,,
232,"Tomasz Husak, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",10/04/2015,"Brussels, Belgium",Promotion of the development of modern and innovative entrepreneurship in Europe and in Poland; Google’s activities in enhancing digital competencies and development of start-ups,Google,FALSE,,,
233,"Raquel Lucas, Cabinet member of Valdis Dombrovskis;Tuure Taneli Lahti, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",26/03/2015,Berlaymont 10 /021,Economic outlook of Europe. Potential of global digital market place.,Google,FALSE,,,
234,"Michael Hager, Cabinet member of Günther Oettinger",Digital Economy and Society,26/03/2015,Brüssel,Digital skills,Google,FALSE,,,
235,"Dimitris Avramopoulos, Commissioner;Diane Schmitt, Cabinet member of Dimitris Avramopoulos;Sofia Asteriadi, Cabinet member of Dimitris Avramopoulos","Migration, Home Affairs and Citizenship",3/03/2015,Office of Commissioner Avramopoulos - BERLAYMONT Building,Proposals regarding Google contribution in the anti-radicalization debate and the fight against the presence of terrorism propaganda online,Google,FALSE,,,
236,"Carl-Christian Buhr, Cabinet member of Phil Hogan",Agriculture & Rural Development,3/03/2015,"Brussels, Belgium",Presentation of Google's Irish operations and Dublin Campus and of promotion activities to increase e- commerce success of food- chain companies,Google,FALSE,,,
237,"Anna Herold, Cabinet member of Günther Oettinger",Digital Economy and Society,28/01/2015,BXL,Copyright,Google,FALSE,,,
238,"Jonathan Michael Hill, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",27/01/2015,Brussels,Google News and Copyright,Google,FALSE,,,
239,"Adrienn Kiraly, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",27/01/2015,Brussels,Google News and Copyright,Google,FALSE,,,
240,"Cecilia Malmström, Commissioner;Jon Nyman, Cabinet member of Cecilia Malmström",Trade,23/01/2015,Davos Switzerland,Digital Agenda and Trade Policy,Google,FALSE,,,
241,"Pierre Moscovici, Commissioner","Economic and Financial Affairs, Taxation and Customs",22/01/2015,Davos,"Meeting with Mr Drummond, Senior Vice President of Corporate Development, Google",Google,FALSE,,,
242,"Fabrice Comptour, Cabinet member of Elżbieta Bieńkowska;Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",20/01/2015,"Brussels, Belgium",Future of the Information Society,Google,FALSE,,,
243,"Andrus Ansip, Vice-President;Stig Joergen Gren, Cabinet member of Andrus Ansip;Kamila Kloc, Cabinet member of Andrus Ansip",Digital Single Market,19/01/2015,Brussels,"Digital Single Market, broadband investment, Google SME initiatives",Google,FALSE,,,
